inspection_date,premises_name,address,city,state,zip,state_id,establishment_type,final_score,grade,inspector_id
5/1/2026,ABBOTSWOOD ASSISTED LIVING DINING SERVICES,7900 CREEDMOOR RD,RALEIGH,NC,27613-4382,4092013354,1 - Restaurant,96,A,2918
5/1/2026,BOJANGLES # 2,4405 FALLS OF NEUSE RD,RALEIGH,NC,27609-6201,4092010069,1 - Restaurant,97.50,A,2802
5/1/2026,BUFFALO WILD WINGS #357,1300 VILLAGE MARKET PL,MORRISVILLE,NC,27560,4092016145,1 - Restaurant,96,A,2587
5/1/2026,DAN SUSHI HIBACHI,1313 N MAIN ST,FUQUAY-VARINA,NC,27526,4092017642,1 - Restaurant,97.50,A,2701
5/1/2026,EVERBOWL,7840 ALEXANDER PROMENADE PL SUITE 125,RALEIGH,NC,27617,4092019903,1 - Restaurant,99,A,2944
5/1/2026,HALAL PITA MEDITERRANEAN GRILL,"5260 CAPITAL BLVD, STE 101",RALEIGH,NC,27616,4092019763,1 - Restaurant,97.50,A,2178
5/1/2026,JERSEY MIKE'S SUBS #3269,6220 BATTLE BRIDGE RD STE 101,RALEIGH,NC,27610,4092019655,1 - Restaurant,98.50,A,1953
5/1/2026,LA CUCINA ITALIANA,524 N WEST ST,RALEIGH,NC,27603,4092019827,1 - Restaurant,94.50,A,2995
5/1/2026,LOWES FOODS #262 DELI/CHEESE,687 MILLS PARK DR,CARY,NC,27519,4092018535,1 - Restaurant,96,A,3092
5/1/2026,MAMACITA GATEWAY,950 GATEWAY COMMONS CIRCLE,WAKE FOREST,NC,27587,4092019759,1 - Restaurant,96.50,A,2293
5/1/2026,POOR BOY GENERAL STORE AND GRILL,5804 POOR BOY FARM RD,KNIGHTDALE,NC,27545,4092016180,1 - Restaurant,98,A,1953
5/1/2026,ROYAL INDIA RESTAURANT,3901-103 CAPITAL BLVD,RALEIGH,NC,27604,4092011117,1 - Restaurant,94,A,3006
5/1/2026,STARBUCKS #25115,180 CABELA DR,GARNER,NC,27529,4092017186,1 - Restaurant,98.50,A,2647
5/1/2026,SWEETGREEN,4158 MAIN AT NORTH HILLS ST SUITE 103,RALEIGH,NC,27609,4092019536,1 - Restaurant,97.50,A,2802
5/1/2026,TEN SECONDS,986 HIGH HOUSE RD,CARY,NC,27513,4092019168,1 - Restaurant,96,A,2945
4/30/2026,FIRST BAPTIST CHURCH,99 N SALISBURY ST,RALEIGH,NC,27603-1737,4092010262,1 - Restaurant,93.50,A,2995
